Time (days),Time (years),Average Production Temperature (°C),T_prod-1 (°C),T_prod-2 (°C),T_prod-3 (°C),T_prod-4 (°C),T_prod-5 (°C)
1825.0000,4.9966,126.1683,126.1349,126.1750,126.1764,126.1793,126.1761
3650.0000,9.9932,125.9954,125.9281,126.0127,126.0109,126.0094,126.0160
5475.0000,14.9897,125.8403,125.7335,125.8645,125.8655,125.8588,125.8790
7300.0000,19.9863,125.6934,125.5427,125.7280,125.7242,125.7158,125.7562
9125.0000,24.9829,125.5595,125.3665,125.5991,125.6017,125.5863,125.6439
10950.0000,29.9795,125.4399,125.2036,125.4961,125.4858,125.4651,125.5489
12775.0000,34.9760,125.3290,125.0498,125.3946,125.3925,125.3481,125.4598
14600.0000,39.9726,125.2301,124.9110,125.3021,125.2990,125.2492,125.3893
16425.0000,44.9692,125.1375,124.7821,125.2168,125.2110,125.1496,125.3282
18250.0000,49.9658,125.0549,124.6668,125.1386,125.1358,125.0618,125.2715
20075.0000,54.9624,124.9759,124.5531,125.0680,125.0636,124.9769,125.2181
21900.0000,59.9589,124.9075,124.4635,125.0011,124.9957,124.8986,125.1783
23725.0000,64.9555,124.8428,124.3719,124.9400,124.9363,124.8333,125.1327
25550.0000,69.9521,124.7892,124.2980,124.8890,124.8842,124.7668,125.1078
27375.0000,74.9487,124.7373,124.2262,124.8389,124.8324,124.7015,125.0876
29200.0000,79.9452,124.6885,124.1565,124.7926,124.7806,124.6443,125.0685
31025.0000,84.9418,124.6472,124.1029,124.7492,124.7389,124.5906,125.0547
32850.0000,89.9384,124.6079,124.0499,124.7068,124.7025,124.5412,125.0391
34675.0000,94.9350,124.5685,124.0002,124.6693,124.6681,124.4866,125.0184
36500.0000,99.9316,124.5327,123.9524,124.6380,124.6314,124.4456,124.9959
